date,sp500_close,nasdaq_close,vix_close,treasury_10y,dollar_index,market_regime
2021-01-04,3891.04,12952.02,20.48,1.496,90.07,bull
2021-01-05,3847.2,13116.52,19.89,1.504,90.73,bull
2021-01-06,3878.24,12818.48,20.02,1.507,90.46,bull
2021-01-07,3803.95,13290.11,19.59,1.498,90.67,bull
2021-01-08,3715.64,13365.73,20.14,1.498,90.64,bull
2021-01-11,3771.54,13559.93,18.39,1.488,90.74,bull
2021-01-12,3750.18,13487.37,19.33,1.476,91.34,bull
2021-01-13,3749.38,12503.15,18.84,1.483,91.59,bull
2021-01-14,3759.74,12277.43,18.99,1.463,91.27,bull
2021-01-15,3791.59,12194.99,18.66,1.457,91.37,bull
2021-01-18,3763.5,12363.54,18.99,1.435,91.48,bull
2021-01-19,3801.06,11998.34,19.23,1.457,91.4,bull
2021-01-20,3768.72,12159.05,18.94,1.468,91.6,bull
2021-01-21,3860.18,12354.22,18.4,1.461,91.26,bull
2021-01-22,3847.64,12488.87,16.98,1.43,91.62,bull
2021-01-25,3863.17,12665.74,17.0,1.437,91.91,bull
2021-01-26,3761.99,12495.5,17.8,1.446,92.22,bull
2021-01-27,3764.16,12679.81,17.47,1.422,92.52,bull
2021-01-28,3738.8,12663.78,17.52,1.427,92.62,bull
2021-01-29,3744.58,12417.76,16.98,1.411,92.97,bull
2021-02-01,3696.01,12217.7,17.06,1.406,92.98,bull
2021-02-02,3687.78,12431.1,16.21,1.41,93.08,bull
2021-02-03,3628.37,12332.76,15.84,1.37,93.08,bull
2021-02-04,3671.07,11918.51,15.68,1.386,93.02,bull
2021-02-05,3726.25,11498.3,15.46,1.371,92.64,bull
2021-02-08,3846.75,11564.3,16.08,1.378,93.25,bull
2021-02-09,3893.1,11195.94,16.67,1.4,93.15,bull
2021-02-10,3975.99,11068.71,15.65,1.403,93.18,bull
2021-02-11,3943.68,11470.84,15.05,1.442,92.99,bull
2021-02-12,3882.44,11304.64,15.14,1.425,93.5,bull
2021-02-15,4016.04,11362.97,15.13,1.433,93.6,bull
2021-02-16,3969.03,11007.52,15.77,1.445,93.66,bull
2021-02-17,3990.95,10870.22,15.32,1.451,93.74,bull
2021-02-18,4140.5,10609.12,15.35,1.481,93.2,bull
2021-02-19,3977.36,10541.9,14.8,1.454,93.24,bull
2021-02-22,3986.89,10452.37,15.81,1.488,92.91,bull
2021-02-23,4030.55,10080.69,15.29,1.49,92.59,bull
2021-02-24,4091.87,9733.71,14.54,1.481,92.59,bull
2021-02-25,4068.71,9668.5,14.66,1.509,92.82,bull
2021-02-26,4128.88,9688.41,13.62,1.518,92.67,bull
2021-03-01,4212.67,9608.08,13.56,1.543,92.18,bull
2021-03-02,4280.14,9766.89,14.18,1.575,92.12,bull
2021-03-03,4312.79,9976.24,14.14,1.569,92.41,bull
2021-03-04,4304.97,9525.63,14.23,1.587,91.91,bull
2021-03-05,4222.16,9648.55,14.51,1.583,92.22,bull
2021-03-08,4171.61,9936.88,14.04,1.612,92.49,bull
2021-03-09,4082.47,9687.14,14.33,1.605,93.1,bull
2021-03-10,4149.48,9755.37,13.22,1.584,92.99,bull
2021-03-11,4067.64,9520.69,12.52,1.57,93.13,bull
2021-03-12,4071.88,9544.34,12.18,1.569,93.3,bull
2021-03-15,4016.45,9570.25,11.33,1.598,93.3,bull
2021-03-16,4120.65,9620.21,11.74,1.595,93.17,bull
2021-03-17,4149.79,9907.32,11.55,1.609,93.1,bull
2021-03-18,4212.53,10064.89,11.83,1.568,93.44,bull
2021-03-19,4125.47,9694.98,12.77,1.57,93.87,bull
2021-03-22,4064.1,9854.74,11.8,1.549,94.35,bull
2021-03-23,4045.68,9865.8,12.41,1.548,94.04,bull
2021-03-24,3994.43,9732.65,12.93,1.573,93.92,bull
2021-03-25,3961.86,9618.14,12.69,1.58,94.25,bull
2021-03-26,3982.7,9549.64,12.07,1.558,94.57,bull
2021-03-29,4009.41,9593.71,11.74,1.582,94.56,bull
2021-03-30,3985.13,9615.13,10.64,1.583,94.47,bull
2021-03-31,4085.47,9464.27,10.96,1.573,94.86,bull
2021-04-01,4170.56,9324.87,10.8,1.564,95.46,bull
2021-04-02,4164.7,9438.78,10.53,1.573,95.38,bull
2021-04-05,4170.3,9164.06,10.32,1.596,94.93,bull
2021-04-06,4095.3,9038.1,10.44,1.633,94.51,bull
2021-04-07,4185.95,8892.1,10.08,1.639,94.28,bull
2021-04-08,4168.81,8790.55,10.13,1.663,93.8,bull
2021-04-09,4152.63,8881.6,10.61,1.63,93.86,bull
2021-04-12,4089.52,8746.91,11.14,1.663,93.71,bull
2021-04-13,4033.22,8361.23,11.36,1.631,94.25,bull
2021-04-14,4050.53,8256.95,11.32,1.634,94.4,bull
2021-04-15,4026.44,8138.56,10.66,1.647,94.02,bull
2021-04-16,3905.52,8014.24,10.54,1.639,94.34,bull
2021-04-19,3877.96,7920.79,10.92,1.639,94.77,bull
2021-04-20,3856.19,7930.35,10.14,1.636,94.67,bull
2021-04-21,3741.77,7857.07,10.22,1.606,94.92,bull
2021-04-22,3676.35,7884.42,10.94,1.612,94.79,bull
2021-04-23,3677.99,8070.34,10.82,1.584,94.58,bull
2021-04-26,3647.84,8025.04,11.37,1.575,95.18,bull
2021-04-27,3616.13,7810.42,11.0,1.574,94.91,bull
2021-04-28,3703.05,7533.59,10.48,1.532,94.8,bull
2021-04-29,3720.18,7382.77,10.35,1.514,94.77,bull
2021-04-30,3753.64,7371.86,10.87,1.491,95.13,bull
2021-05-03,3663.62,7462.35,10.28,1.447,95.17,bull
2021-05-04,3663.14,7043.83,10.0,1.445,95.36,bull
2021-05-05,3723.26,7001.16,10.04,1.46,95.57,bull
2021-05-06,3750.93,7177.09,10.46,1.462,95.32,bull
2021-05-07,3761.51,7364.48,10.05,1.49,95.2,bull
2021-05-10,3638.16,7273.92,10.0,1.469,95.95,bull
2021-05-11,3612.48,7302.28,10.11,1.465,95.51,bull
2021-05-12,3558.58,7192.43,10.0,1.473,95.49,bull
2021-05-13,3540.47,7200.95,10.0,1.449,95.55,bull
2021-05-14,3507.34,7252.97,10.6,1.475,95.59,bull
2021-05-17,3514.68,7409.7,11.23,1.482,96.19,bull
2021-05-18,3555.88,7446.38,10.72,1.504,96.04,bull
2021-05-19,3570.47,7129.55,10.29,1.528,95.59,bull
2021-05-20,3616.07,6983.17,10.0,1.523,95.03,bull
2021-05-21,3563.14,7075.74,10.45,1.518,95.38,bull
2021-05-24,3523.17,6988.97,10.0,1.493,95.47,bull
2021-05-25,3471.05,6992.65,10.0,1.518,95.34,bull
2021-05-26,3487.98,6797.08,10.13,1.506,95.42,bull
2021-05-27,3484.49,6794.34,10.48,1.502,95.86,bull
2021-05-28,3472.21,6732.52,10.91,1.483,95.91,bull
2021-05-31,3547.13,6613.07,10.14,1.514,96.33,bull
2021-06-01,3548.53,6443.55,10.76,1.523,96.54,bull
2021-06-02,3547.02,6601.7,11.14,1.547,96.63,bull
2021-06-03,3533.42,6593.88,11.04,1.528,96.31,bull
2021-06-04,3425.58,6296.84,11.46,1.532,96.52,bull
2021-06-07,3377.13,6289.85,11.34,1.546,96.32,bull
2021-06-08,3406.91,6325.44,11.56,1.568,96.09,bull
2021-06-09,3359.04,6244.03,11.27,1.604,95.4,bull
2021-06-10,3375.2,6266.13,11.42,1.583,95.62,bull
2021-06-11,3470.45,6200.46,10.26,1.557,95.25,bull
2021-06-14,3456.73,6100.49,10.0,1.559,95.41,bull
2021-06-15,3420.99,6198.34,10.66,1.533,95.22,bull
2021-06-16,3353.02,6349.99,10.61,1.544,95.29,bull
2021-06-17,3352.77,6417.14,11.24,1.505,95.47,bull
2021-06-18,3330.85,6579.08,11.26,1.528,95.63,bull
2021-06-21,3324.44,6579.11,11.22,1.57,95.18,bull
2021-06-22,3368.88,6480.35,11.21,1.554,95.18,bull
2021-06-23,3289.79,6563.29,10.79,1.563,95.1,bull
2021-06-24,3394.29,6716.6,10.59,1.546,95.2,bull
2021-06-25,3512.91,6875.19,10.78,1.566,95.28,bull
2021-06-28,3571.89,6932.13,10.51,1.539,95.66,bull
2021-06-29,3576.74,6943.55,10.45,1.575,95.34,bull
2021-06-30,3540.1,7010.65,10.86,1.553,95.51,bull
2021-07-01,3550.22,7014.9,11.68,1.514,95.12,sideways
2021-07-02,3594.32,7011.76,12.4,1.557,95.34,sideways
2021-07-05,3590.77,7115.87,12.71,1.529,95.57,sideways
2021-07-06,3695.25,7151.36,12.59,1.52,95.46,sideways
2021-07-07,3687.18,7140.36,12.42,1.543,95.6,sideways
2021-07-08,3725.78,7071.07,12.37,1.545,95.44,sideways
2021-07-09,3717.31,6970.6,11.87,1.56,95.65,sideways
2021-07-12,3672.32,6950.85,11.39,1.545,94.99,sideways
2021-07-13,3632.63,6885.53,11.48,1.55,94.96,sideways
2021-07-14,3662.55,6949.05,11.66,1.557,94.55,sideways
